RSHA,BS,RHOB,CALI,DRHO,GR,RDEP,CALI_corr
1.3217,14.75,1.8472,23.34,0.0415,33.95,3.9138,8.59
1.4145,14.75,1.7853,23.34,0.0357,31.84,2.935,8.59
1.5729,14.75,1.782,23.34,0.0483,30.36,2.203,8.59
1.8115,14.75,1.8079,23.34,0.0615,29.72,2.0946,8.59
2.1879,14.75,1.8269,23.03,0.0703,28.82,4.1477,8.280000000000001
2.2165,14.75,1.8499,22.69,0.0723,28.86,2.6525,7.940000000000001
2.1084,14.75,1.8849,22.84,0.0781,29.28,2.4494,8.09
2.011,14.75,1.9377,22.52,0.0898,29.02,2.4994,7.77
1.9812,14.75,1.933,23.22,0.0874,27.89,2.5515,8.469999999999999
1.9585,14.75,1.8911,23.25,0.0762,28.74,2.5229,8.5
1.9514,14.75,1.8283,23.34,0.0616,30.91,2.54,8.59
1.9476,14.75,1.8071,23.34,0.0567,31.44,2.7833,8.59
1.9956,14.75,1.8359,23.34,0.0674,31.34,2.9394,8.59
2.0653,14.75,1.8917,23.34,0.0912,30.95,2.5019,8.59
2.2327,14.75,1.886,23.34,0.0826,30.96,2.4319,8.59
2.2983,14.75,1.88,23.34,0.0801,31.05,2.3823,8.59
2.1859,14.75,1.8521,23.34,0.0616,31.78,2.4035,8.59
2.0515,14.75,1.854,23.34,0.0712,33.23,2.354,8.59
1.9487,14.75,1.8401,23.3,0.0737,34.71,2.4036,8.55
1.9845,14.75,1.8401,22.52,0.0737,36.35,2.4598,7.77
1.9295,14.75,1.8798,22.86,0.0805,36.78,2.6032,8.11
1.893,14.75,1.8958,22.52,0.0597,37.19,2.7725,7.77
1.8584,14.75,1.8221,22.44,0.0605,39.79,3.0084,7.690000000000001
2.2316,14.75,1.6588,21.89,0.0421,47.34,3.2701,7.140000000000001
2.848,14.75,1.6711,21.69,0.077,53.09,3.5439,6.940000000000001
3.5603,14.75,1.7758,22.65,0.0786,54.91,3.8672,7.899999999999999
3.7993,14.75,2.02,19.78,0.0752,53.73,4.387,5.030000000000001
3.8429,14.75,2.1424,18.77,0.0436,54.95,5.0261,4.02
3.7875,14.75,2.1579,18.73,0.0128,57.42,5.4429,3.9800000000000004
3.8326,14.75,2.148,18.87,0.0108,58.37,5.5314,4.120000000000001
3.901,14.75,2.1191,18.94,0.0161,57.0,5.3759,4.190000000000001
3.9119,14.75,2.0612,18.77,0.0127,55.91,4.9553,4.02
4.0085,14.75,2.0331,18.8,0.0185,55.76,4.5618,4.050000000000001
4.0146,14.75,2.0231,19.06,0.0103,57.42,4.279,4.309999999999999
3.8011,14.75,2.0639,19.76,0.0073,57.21,4.1015,5.010000000000002
3.4252,14.75,2.1048,19.27,-0.0024,56.69,3.975,4.52
3.1527,14.75,2.1349,19.58,-0.0058,52.6,4.048,4.829999999999998
3.0639,14.75,2.131,18.82,-0.0058,49.31,4.1344,4.07
3.3446,14.75,2.125,19.09,0.0063,50.02,4.2885,4.34
3.7902,14.75,2.117,19.97,0.0088,54.33,4.4701,5.219999999999999
4.2289,14.75,2.113,21.12,0.0093,57.42,4.6562,6.370000000000001
4.713,14.75,2.121,18.87,0.0054,53.2,4.7987,4.120000000000001
5.3601,14.75,2.148,18.56,0.0,48.57,5.1265,3.8099999999999987
5.8852,14.75,2.2088,18.56,0.0015,46.32,5.4925,3.8099999999999987
5.9888,14.75,2.2518,18.56,-0.0024,47.76,5.969,3.8099999999999987
5.9547,14.75,2.2789,18.52,0.0034,49.15,6.4347,3.7699999999999996
5.9504,14.75,2.2661,18.64,-0.0063,49.46,6.6316,3.8900000000000006
5.9586,14.75,2.266,18.48,-0.0122,48.97,6.6725,3.7300000000000004
5.9927,14.75,2.262,18.55,-0.0205,47.57,6.7014,3.8000000000000007
5.8726,14.75,2.262,18.64,-0.0142,44.8,6.6539,3.8900000000000006
5.7414,14.75,2.25,18.66,-0.002,45.43,6.4412,3.91
5.7151,14.75,2.242,18.66,0.0068,47.37,6.3758,3.91
5.6879,14.75,2.244,18.66,0.0059,50.63,6.5437,3.91
5.6529,14.75,2.252,18.69,-0.0029,52.12,6.7663,3.9400000000000013
5.6911,14.75,2.254,18.77,-0.0083,52.81,6.9936,4.02
5.7573,14.75,2.254,18.78,-0.0073,55.09,7.4472,4.030000000000001
5.8102,14.75,2.26,18.86,-0.0029,56.84,7.6768,4.109999999999999
5.9457,14.75,2.2809,18.89,0.0058,57.37,7.6917,4.140000000000001
6.0947,14.75,2.287,19.22,0.0049,55.4,6.9927,4.469999999999999
6.2828,14.75,2.283,19.17,0.0068,51.36,6.0207,4.420000000000002
6.2823,14.75,2.273,19.03,0.0,46.97,5.0208,4.280000000000001
5.2316,14.75,2.2639,19.23,0.0044,43.85,4.5562,4.48
3.697,14.75,2.1821,18.94,0.0015,43.12,4.351,4.190000000000001
2.7668,14.75,1.9468,18.63,0.0024,42.77,4.3685,3.879999999999999
2.6842,14.75,1.6891,19.84,-0.0024,42.34,4.3703,5.09
2.9113,14.75,1.5805,20.23,0.0034,40.69,4.1586,5.48
3.3662,14.75,1.5891,22.02,-0.0024,42.16,4.0165,7.27
3.6696,14.75,1.7424,23.02,0.0131,45.21,4.0517,8.27
3.9176,14.75,1.8765,20.17,0.0176,48.92,4.2158,5.420000000000002
4.1349,14.75,1.9865,19.43,0.0506,51.81,4.6875,4.68
4.7078,14.75,2.0289,19.98,0.0333,55.54,5.3187,5.23
5.1891,14.75,2.1067,18.96,0.0142,58.74,5.8807,4.210000000000001
5.2501,14.75,2.2026,19.7,0.0001,60.25,6.3422,4.949999999999999
5.1765,14.75,2.2537,19.36,-0.001,60.27,6.3449,4.609999999999999
5.2764,14.75,2.246,19.27,0.0112,62.57,6.2567,4.52
5.5646,14.75,2.219,19.03,0.0151,66.5,6.0622,4.280000000000001
5.4636,14.75,2.1503,18.64,0.0122,72.66,5.9681,3.8900000000000006
5.2748,14.75,2.0942,17.66,0.0307,75.57,5.9067,2.91
4.6621,14.75,2.0492,16.08,0.0483,74.77,5.9629,1.3299999999999983
4.3115,14.75,2.0639,15.5,0.0609,69.45,6.5067,0.75
4.299,14.75,2.078,15.43,0.0231,66.25,7.6912,0.6799999999999997
4.8766,14.75,2.1248,15.93,0.005,66.11,9.2232,1.1799999999999997
5.6532,14.75,2.1479,16.98,-0.0014,68.71,9.55,2.2300000000000004
5.9322,14.75,2.156,16.83,0.0083,71.4,8.4546,2.0799999999999983
6.8449,14.75,2.1779,16.0,0.0102,71.53,7.0844,1.25
6.3221,14.75,2.2128,15.78,0.0073,66.83,5.3437,1.0299999999999994
4.9341,14.75,2.2209,16.03,-0.0077,60.08,4.1188,1.2800000000000011
3.1058,14.75,2.2049,15.46,0.0005,51.06,3.9221,0.7100000000000009
2.3498,14.75,2.0633,15.41,0.0049,47.23,3.8516,0.6600000000000001
2.2412,14.75,1.7692,17.3,0.0054,47.47,3.35,2.5500000000000007
2.4633,14.75,1.6098,17.15,0.0029,51.76,3.1776,2.3999999999999986
2.3919,14.75,1.6081,19.8,0.0059,54.29,3.353,5.050000000000001
1.9743,14.75,1.7235,23.01,0.0102,52.15,3.3123,8.260000000000002
2.0821,14.75,1.7827,18.96,0.0127,48.22,3.4601,4.210000000000001
2.5601,14.75,1.7741,17.66,0.0069,42.28,3.4403,2.91
2.8908,14.75,1.78,19.04,0.0064,36.23,2.9618,4.289999999999999
2.553,14.75,1.8208,18.33,0.0142,31.85,2.791,3.5799999999999983
2.0693,14.75,1.819,19.59,0.0409,29.64,2.8609,4.84
1.5821,14.75,1.7949,21.76,0.0595,28.56,2.7653,7.010000000000002
1.3867,14.75,1.6256,22.39,0.044,27.07,2.5918,7.640000000000001
1.4122,14.75,1.4178,23.32,0.0133,25.33,2.357,8.57
1.4322,14.75,1.2766,23.34,-0.0009,24.6,2.0749,8.59
1.4942,14.75,1.2213,23.34,-0.0088,23.77,1.8114,8.59
1.6196,14.75,1.213,23.34,-0.0122,24.21,1.6723,8.59
1.6255,14.75,1.207,23.34,-0.0171,25.96,1.6664,8.59
1.5428,14.75,1.21,23.34,-0.0137,26.95,1.765,8.59
